x,y,nom
658834.22627726896,6860652.8462651754,Château de Vincennes
658060.78736501967,6860770.1568969684,Bérault
657261.3665407307,6860877.4394967258,Saint Mandé-Tourelle
656597.09549129405,6860968.0338770309,Porte de Vincennes
655579.97158937808,6861072.5420940425,Nation
654995.58586649795,6860992.2972291177,Reuilly-Diderot
653944.42386638105,6860702.0827363348,Gare de Lyon
653736.6976126855,6861525.4459339473,Bastille
653017.98203368275,6861904.3616078561,St. Paul
652409.82624353096,6862136.7377633769,Hôtel de Ville
652106.57377480005,6862267.4236089643,Châtelet
651659.70188547799,6862508.6903721066,Louvre Rivoli
651322.74892707134,6862678.4942989908,Palais Royal – Musée du Louvre
650829.29062778316,6862927.113984392,Tuileries
650241.21685310337,6863156.6749483757,Concorde
649665.03230663179,6863283.1814085934,Champs-Élysées Clemenceau
649339.08654997509,6863442.8362572342,Franklin D.Roosevelt
648689.24550355924,6863782.3429428218,George V
648374.90444275946,6864016.4947983902,Charles de Gaulle-Étoile
647835.39304880972,6864203.2169199428,Argentine
647489.26709437906,6864372.3202539477,Porte Maillot
646558.43508431723,6864831.2754851077,Les Sablons
645734.73723610828,6865242.0207940172,Pont de Neuilly
644946.87613391189,6865628.0713506285,Esplanade de La Défense
644191.22703366866,6865997.504142452,La Défense
