x,y,nom
647572.09909375897,6870249.233941528,Les Courtilles
647713.98666569637,6869381.9244327694,Les Agnettes
648382.75892883667,6868620.9669053461,Gabriel Péri
649132.44998956553,6867218.967502797,Mairie de Clichy
649700.05193974078,6866230.2746485732,Porte de Clichy
650139.17994119483,6865845.0447688177,Brochant
650537.65464204433,6865491.1324115554,La Fourche
653181.20584905683,6858504.9631022336,Olympiades
654258.61258445797,6859143.4265691247,Bibliothèque François-Mitterrand
654931.11102495226,6859699.9902467187,Cour Saint-Émilion
654426.36849777855,6860234.4974802751,Bercy
653944.42386638105,6860702.0827363348,Gare de Lyon
652089.37112575967,6862718.8950906806,Châtelet
651147.72663809173,6863114.235650124,Pyramides
650469.98698678834,6863488.0062762927,Madeleine
650599.59451122314,6864180.6187141025,Saint-Lazare
653372.60951929679,6871973.6504635438,Saint-Denis - Université
653024.74465294555,6870978.7030473538,Basilique de Saint-Denis
652838.11868264154,6870172.2960881945,Saint-Denis - Porte de Paris
651926.68259902403,6869109.3219473297,Carrefour Pleyel
651163.99636665615,6868205.6505416976,Mairie de Saint-Ouen
651024.58739838307,6867595.600964318,Garibaldi
650805.75569795188,6866618.9048659522,Porte de Saint-Ouen
650681.44751011766,6866105.7125889715,Guy Môquet
650537.65464204433,6865491.1324115554,La Fourche
650653.65470410686,6865053.046286623,Place de Clichy
650632.92356654443,6864618.5423900625,Liège
650599.59451122314,6864180.6187141025,Saint-Lazare
649788.28331354866,6863982.6932591526,Miromesnil
649665.03230663179,6863283.1814085934,Champs-Élysées Clemenceau
649692.54415335879,6862649.2123832302,Invalides
649733.64087209257,6862024.4840924852,Varenne
649680.30282629817,6861455.8997297157,Saint-François-Xavier
649850.52384843619,6860976.6319858413,Duroc
650381.74254487036,6860624.1965028401,Montparnasse – Bienvenüe
650257.4547895327,6860073.2177018067,Gaîté
649938.68261269655,6859546.7887836406,Pernety
649638.7544105039,6859309.5153591661,Plaisance
648944.44467058533,6858856.6926355306,Porte de Vanves
648490.31969696959,6858282.7986885654,Malakoff - Plateau de Vanves
648355.13765547797,6857490.1738964822,Malakoff - Rue Étienne-Dolet
648695.73734289804,6856963.0649242215,Châtillon - Montrouge
654279.47287823213,6867640.3044651709,Saint-Denis - Aubervilliers
653005.68522208231,6866619.9653278124,Porte de la Chapelle
653059.68687228765,6865819.668883713,Marx Dormoy
652299.64919919346,6865871.6890758425,Marcadet – Poissonniers
651946.14253946801,6866029.9543766379,Jules Joffrin
651495.68924518209,6865752.6318900548,Lamarck - Caulaincourt
651474.92142122774,6865136.3624379132,Abbesses
651396.06772534945,6864911.6553487871,Pigalle
651406.03999249497,6864480.8107993184,Saint-Georges
651506.15696572489,6864202.9394516926,Notre-Dame-de-Lorette
651025.00647812069,6864268.9890027232,Trinité - d'Estienne d'Orves
650599.59451122314,6864180.6187141025,Saint-Lazare
650469.98698678834,6863488.0062762927,Madeleine
650241.20648370974,6863156.6601053579,Concorde
650128.00479176256,6862585.4695258951,Assemblée nationale
650297.9461238581,6862304.6329548564,Solférino
650504.54729704547,6861994.2545264969,Rue du Bac
650586.42343207379,6861491.4341363329,Sèvres - Babylone
650662.72119347914,6861114.1549457405,Rennes
650721.62641735002,6860797.692146278,Notre-Dame-des-Champs
650381.74254487036,6860624.1965028401,Montparnasse – Bienvenüe
649914.94421993208,6860710.629803787,Falguière
649545.16458347021,6860542.3822933314,Pasteur
649196.93937189446,6860387.4499419993,Volontaires
648697.45457204571,6860174.4653297579,Vaugirard
648350.66395464877,6859921.1962182093,Convention
647709.08370083629,6859373.9706969736,Porte de Versailles
647057.71929722116,6858797.6741803838,Corentin Celton
646601.24611598661,6858472.4448937187,Mairie d'Issy
657225.66857144935,6864603.4697929155,Mairie des Lilas
656471.89671362855,6864291.1366901388,Porte des Lilas
655925.43339199596,6864113.7658045003,Télégraphe
655460.77235007205,6864254.0275356248,Place des Fêtes
655225.27402932756,6864100.0525794365,Jourdain
654913.61748113146,6863945.773509468,Pyrénées
654295.49348585901,6863755.5848529814,Belleville
653865.35081719712,6863519.0692380806,Goncourt
653371.19810316036,6863271.8017090103,République
652757.70901190571,6863022.9238478392,Arts et Métiers
652554.2628559781,6862548.8058213759,Rambuteau
652409.82624353096,6862136.7377633769,Hôtel de Ville
652106.57377480005,6862267.4236089643,Châtelet
646955.65667551942,6860923.2055035736,Javel - André Citroën
646310.25447494758,6861078.9245303832,Église d'Auteuil
645988.05388164963,6861139.2842015447,Michel-Ange - Auteuil
645540.23380762117,6861061.8039969308,Porte d'Auteuil
644117.76274496247,6860486.3736644359,Boulogne - Jean Jaurès
653483.51805578766,6860483.7365186792,Gare d'Austerlitz
652639.0850583592,6860888.798170533,Jussieu
652394.48278029216,6860941.227324646,Cardinal Lemoine
652143.28458085132,6861332.0395875908,Maubert - Mutualité
651795.17445999873,6861461.6801628936,Cluny - La Sorbonne
651576.61507027096,6861546.714855615,Odéon
651258.26880712446,6861649.9306993876,Mabillon
650586.42343207379,6861491.4341363329,Sèvres - Babylone
650156.86989707581,6861170.9253277192,Vaneau
649850.52384843619,6860976.6319858413,Duroc
649077.45837981196,6861110.3282129718,Ségur
648542.86459590099,6861201.4476303784,La Motte-Picquet - Grenelle
648287.14779129426,6861010.8227165388,Avenue Émile-Zola
647580.77537785925,6860970.7260337733,Charles Michels
646955.65667551942,6860923.2055035736,Javel - André Citroën
646658.37196687399,6861071.793774223,Mirabeau
646159.18967327243,6860816.3676829636,Chardon-Lagache
645818.954038925,6860833.7374799689,Michel-Ange - Molitor
644117.76274496247,6860486.3736644359,Boulogne - Jean Jaurès
643363.33066330804,6860364.48078031,Boulogne - Pont de Saint-Cloud
659029.6818790813,6862643.9597150171,Mairie de Montreuil
658641.48532963195,6862153.8792591207,Croix de Chavaux
657654.96197794599,6861905.2750828573,Robespierre
